County,City,SchoolName,SchoolType,Rating,NCESID,State,Excluded,ExcludedReason
Baldwin,,Baldwin County High,High,8,,,,
Baldwin,,Bay Minette Elementary,Elementary,4,,,,
Baldwin,,Bay Minette Middle,Middle,8,,,,
Baldwin,,Belforest Elementary,Elementary,10,,,,
Baldwin,,Central Baldwin Middle,Middle,8,,,,
Baldwin,,Daphne East Elementary,Elementary,10,,,,
Baldwin,,Daphne Elementary,Elementary,8,,,,
Baldwin,,Daphne High,High,10,,,,
Baldwin,,Daphne Middle,Middle,6,,,,
Baldwin,,Delta Elementary,Elementary,8,,,,
Baldwin,,Elberta Elementary,Elementary,7,,,,
Baldwin,,Elberta High,High,8,,,,
Baldwin,,Elberta Middle,Middle,9,,,,
Baldwin,,Elsanor Elementary,Elementary,9,,,,
Baldwin,,Fairhope East Elementary,Elementary,10,,,,
Baldwin,,Fairhope High,High,9,,,,
Baldwin,,Fairhope Middle,Middle,10,,,,
Baldwin,,Fairhope West Elementary,Elementary,10,,,,
Baldwin,,Florence B. Mathis Elementary,Elementary,3,,,,
Baldwin,,Foley Elementary,Elementary,4,,,,
Baldwin,,Foley High,High,7,,,,
Baldwin,,Foley Middle,Middle,4,,,,
Baldwin,,J. Larry Newton Elementary,Elementary,9,,,,
Baldwin,,Loxley Elementary,Elementary,8,,,,
Baldwin,,Magnolia School,K-6,8,,,,
Baldwin,,Pine Grove Elementary,Elementary,7,,,,
Baldwin,,Robertsdale Elementary,Elementary,5,,,,
Baldwin,,Robertsdale High,High,8,,,,
Baldwin,,Rockwell Elementary,Elementary,10,,,,
Baldwin,,Rosinton Elementary,Elementary,7,,,,
Baldwin,,Silverhill Elementary,Elementary,5,,,,
Baldwin,,Spanish Fort Elementary,Elementary,10,,,,
Baldwin,,Spanish Fort High,High,10,,,,
Baldwin,,Spanish Fort Middle,Middle,10,,,,
Baldwin,,Stapleton Elementary,Elementary,8,,,,
Baldwin,,Stonebridge Elementary,Elementary,10,,,,
Bay,Lynn Haven,Mosley High,,6,,,,
Bay,Panama City,Bay High,,4,,,,
Bay,Panama City,Rutherford High,,2,,,,
Bay,Panama City Beach,Arnold High,,4,,,,
Calhoun,Blountstown,Blountstown High,,6,,,,
Escambia,Cantonment,Tate High,,5,,,,
Escambia,Pensacola,Bellview Elementary,,8,,,,
Escambia,Pensacola,Bellview Middle,,2,,,,
Escambia,Pensacola,Blue Angels Elementary,,6,,,,
Escambia,Pensacola,Brentwood Elementary,,3,,,,
Escambia,Pensacola,Brown Barge Middle,,9,,,,
Escambia,Pensacola,Escambia High,,3,,,,
Escambia,Pensacola,Ferry Pass Elementary,,7,,,,
Escambia,Pensacola,Jim Allen Elementary,,7,,,,
Escambia,Pensacola,Pine Forest High,,2,,,,
Escambia,Pensacola,Ransom Middle,,6,,,,
Escambia,Pensacola,Scenic Heights Elementary,,4,,,,
Escambia,Pensacola,Washington High,,3,,,,
Gulf,Port St. Joe,Port St. Joe Jr./Sr. High,,6,,,,
Gulf,Wewahitchka,Wewahitchka High,,4,,,,
Holmes,Bonifay,Holmes County High,,3,,,,
Jackson,Marianna,Marianna High,,4,,,,
Jackson,Sneads,Sneads High,,4,,,,
Mobile,Eight Mile,Blount High School,,2,,,,
Mobile,Irvington,Alma Bryant High School,,5,,,,
Mobile,Mobile,Alba Middle School,,8,,,,
Mobile,Mobile,B.C. Rain High School,,2,,,,
Mobile,Mobile,Baker High School,,7,,,,
Mobile,Mobile,Burns Middle School,,2,,,,
Mobile,Mobile,Davidson High School,,6,,,,
Mobile,Mobile,Dodge Elementary,,3,,,,
Mobile,Mobile,LeFlore High School,,,,,True,Thomas Verified Grade: Unranked
Mobile,Mobile,Murphy High School,,4,,,,
Mobile,Mobile,Williamson High School,,1,,,,
Mobile,Semmes,Semmes Elementary,,8,,,,
Mobile,Semmes,Semmes Middle School,,5,,,,
Mobile,Theodore,Theodore High School,,2,,,,
Okaloosa,Crestview,Crestview High,,5,,,,
