submarket,GEOID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,overlap_area_sqm,overlap_pct_of_bg,population,households,median_household_income,median_age,owner_occupied_units,occupied_housing_units,year
South Baldwin,010030115043,01,003,011504,3,17156620.14484893,0.9999999999999982,4844.0,2256.0,79596.0,56.0,2019.0,2256.0,2023
West Baldwin,010030107102,01,003,010710,2,7363427.391248764,1.0000000000000004,3919.0,1297.0,113459.0,33.6,1118.0,1297.0,2023
North Mobile / Saraland,010030107103,01,003,010710,3,826096.4505726659,0.02768017963564405,1369.0,775.0,83400.0,54.5,273.0,775.0,2023
West Baldwin,010030107103,01,003,010710,3,4451678.295735773,0.1491632784775231,1369.0,775.0,83400.0,54.5,273.0,775.0,2023
West Baldwin,010030107091,01,003,010709,1,18920307.284608405,1.0000000000000007,5073.0,1713.0,104823.0,40.2,1579.0,1713.0,2023
West Baldwin,010030107111,01,003,010711,1,1894015.815396365,0.9999999999999999,2470.0,904.0,85437.0,37.0,318.0,904.0,2023
West Baldwin,010030111043,01,003,011104,3,5196467.80373245,1.0,2953.0,1059.0,66960.0,42.7,963.0,1059.0,2023
West Baldwin,010030107092,01,003,010709,2,13909060.503091218,1.0000000000000007,1374.0,551.0,100438.0,43.3,454.0,551.0,2023
West Baldwin,010030107112,01,003,010711,2,1693211.8103519133,1.0000000000000009,1571.0,797.0,92708.0,49.5,601.0,797.0,2023
Central Baldwin,010030107071,01,003,010707,1,1122140.6823357346,0.06766281183071136,1630.0,629.0,104395.0,35.0,263.0,629.0,2023
North Mobile / Saraland,010030107071,01,003,010707,1,1116469.5717404296,0.06732085534065474,1630.0,629.0,104395.0,35.0,263.0,629.0,2023
West Baldwin,010030107071,01,003,010707,1,5558418.997386842,0.33516141480013817,1630.0,629.0,104395.0,35.0,263.0,629.0,2023
Central Baldwin,010030109071,01,003,010907,1,18287668.10854604,0.6189417668759865,2459.0,1089.0,77523.0,43.1,888.0,1089.0,2023
West Baldwin,010030109071,01,003,010907,1,10999246.899853518,0.3722668888177791,2459.0,1089.0,77523.0,43.1,888.0,1089.0,2023
South Baldwin,010030114133,01,003,011413,3,8804705.41132627,0.9999999999999991,1324.0,554.0,120190.0,54.1,540.0,554.0,2023
South Baldwin,010030114121,01,003,011412,1,19327736.57349824,0.9999999999999998,1499.0,722.0,80614.0,53.1,416.0,722.0,2023
South Baldwin,010030115034,01,003,011503,4,5246923.985412502,1.0,1827.0,1049.0,87459.0,37.6,745.0,1049.0,2023
Central Baldwin,010030109081,01,003,010908,1,10620848.59537293,1.0000000000000002,2373.0,767.0,97344.0,36.0,477.0,767.0,2023
Central Baldwin,010030109082,01,003,010908,2,20378118.228609726,1.0000000000000013,3476.0,1332.0,68778.0,37.5,917.0,1332.0,2023
West Baldwin,010030111031,01,003,011103,1,15722850.21117535,1.0000000000000002,3526.0,1627.0,78438.0,45.4,1539.0,1627.0,2023
South Baldwin,010030114104,01,003,011410,4,47403123.85081925,0.9047004201339395,2651.0,871.0,90074.0,43.8,644.0,871.0,2023
South Baldwin,010030114101,01,003,011410,1,18192116.283562727,1.0000000000000002,2848.0,1180.0,62135.0,38.9,883.0,1180.0,2023
West Baldwin,010030111042,01,003,011104,2,10095871.425879328,1.0000000000000002,3213.0,1248.0,102321.0,49.3,1195.0,1248.0,2023
South Baldwin,010030115031,01,003,011503,1,6581198.764181306,1.0000000000000002,1290.0,621.0,78179.0,56.1,572.0,621.0,2023
South Baldwin,010030114111,01,003,011411,1,6540570.690674616,0.9999999999999989,2207.0,1061.0,40048.0,61.4,976.0,1061.0,2023
South Baldwin,010030114122,01,003,011412,2,5789972.672648224,0.999999999999999,1989.0,903.0,79398.0,38.8,282.0,903.0,2023
South Baldwin,010030114132,01,003,011413,2,4483645.970405326,1.0000000000000002,1517.0,897.0,47110.0,36.4,377.0,897.0,2023
South Baldwin,010030114182,01,003,011418,2,14902736.614057515,0.705468283954127,995.0,541.0,88170.0,65.7,512.0,541.0,2023
Pensacola,010030116042,01,003,011604,2,86673.7291273114,0.008620171521604391,2394.0,951.0,76625.0,58.0,936.0,951.0,2023
South Baldwin,010030116042,01,003,011604,2,9916726.603080023,0.9862721393450532,2394.0,951.0,76625.0,58.0,936.0,951.0,2023
Central Baldwin,010030109072,01,003,010907,2,8096021.840664219,0.7525609188526132,2080.0,416.0,115000.0,25.7,372.0,416.0,2023
West Baldwin,010030109072,01,003,010907,2,2554435.280738959,0.23744601976823815,2080.0,416.0,115000.0,25.7,372.0,416.0,2023
Central Baldwin,010030103005,01,003,010300,5,47512706.63927875,1.0000000000000002,2703.0,1078.0,42603.0,34.5,857.0,1078.0,2023
South Baldwin,010030114181,01,003,011418,1,4847215.491215498,0.999999999999999,930.0,476.0,48375.0,47.2,196.0,476.0,2023
Pensacola,010030114151,01,003,011415,1,9159880.441415288,0.44937768791326255,1887.0,908.0,104118.0,64.4,831.0,908.0,2023
South Baldwin,010030114151,01,003,011415,1,8751066.817347538,0.4293215613790802,1887.0,908.0,104118.0,64.4,831.0,908.0,2023
South Baldwin,010030114192,01,003,011419,2,2166704.5668142713,1.0000000000000004,1548.0,718.0,64732.0,52.5,554.0,718.0,2023
Central Baldwin,010030107073,01,003,010707,3,24196842.81682064,0.1850976099056797,2387.0,782.0,135278.0,37.9,772.0,782.0,2023
North Mobile / Saraland,010030107073,01,003,010707,3,103685251.30830437,0.7931568736023478,2387.0,782.0,135278.0,37.9,772.0,782.0,2023
West Baldwin,010030107073,01,003,010707,3,7723.972490456418,5.9085759980506336e-05,2387.0,782.0,135278.0,37.9,772.0,782.0,2023
Central Baldwin,010030107082,01,003,010708,2,42635653.25919292,0.9999999999999973,5472.0,1596.0,94333.0,29.7,1209.0,1596.0,2023
Central Baldwin,010030103004,01,003,010300,4,13865172.44487371,1.0000000000000022,305.0,147.0,69279.0,34.1,124.0,147.0,2023
West Baldwin,010030107081,01,003,010708,1,4434720.319159194,1.0000000000000007,2109.0,654.0,122670.0,30.9,579.0,654.0,2023
Pensacola,010030116041,01,003,011604,1,3078414.115310219,0.14128548960365517,961.0,427.0,68935.0,61.5,417.0,427.0,2023
South Baldwin,010030116041,01,003,011604,1,18568510.95485008,0.8522119062601998,961.0,427.0,68935.0,61.5,417.0,427.0,2023
West Baldwin,010030107101,01,003,010710,1,2829124.144530066,1.0000000000000002,1385.0,596.0,52647.0,41.0,289.0,596.0,2023
South Baldwin,010030115041,01,003,011504,1,5237308.807686912,1.0000000000000002,492.0,301.0,51483.0,57.1,301.0,301.0,2023
Central Baldwin,010030107062,01,003,010706,2,1081008.2832645595,0.18504737683843947,2475.0,812.0,98000.0,40.5,784.0,812.0,2023
West Baldwin,010030107062,01,003,010706,2,4738176.6590556055,0.8110827412973497,2475.0,812.0,98000.0,40.5,784.0,812.0,2023
Central Baldwin,010030114093,01,003,011409,3,6465204.542616579,0.4257245239504959,1885.0,633.0,116533.0,47.5,498.0,633.0,2023
South Baldwin,010030114093,01,003,011409,3,8647043.06159018,0.5693954872903448,1885.0,633.0,116533.0,47.5,498.0,633.0,2023
Central Baldwin,010030116032,01,003,011603,2,23009887.88138412,0.37156901091785705,1698.0,540.0,66724.0,40.3,437.0,540.0,2023
Pensacola,010030116032,01,003,011603,2,10177721.616504988,0.16435221127268562,1698.0,540.0,66724.0,40.3,437.0,540.0,2023
South Baldwin,010030116032,01,003,011603,2,27614105.022436574,0.44591897811330755,1698.0,540.0,66724.0,40.3,437.0,540.0,2023
Central Baldwin,010030114091,01,003,011409,1,2816128.8206088487,0.11195003375667786,1721.0,760.0,85465.0,39.3,705.0,760.0,2023
South Baldwin,010030114091,01,003,011409,1,17502093.97474106,0.6957636301812341,1721.0,760.0,85465.0,39.3,705.0,760.0,2023
West Baldwin,010030114091,01,003,011409,1,3822931.822595231,0.15197363964922783,1721.0,760.0,85465.0,39.3,705.0,760.0,2023
South Baldwin,010030114102,01,003,011410,2,11449722.23092774,1.0000000000000002,1400.0,428.0,73333.0,46.8,394.0,428.0,2023
Central Baldwin,010030107084,01,003,010708,4,11263490.613843307,0.5923381716639966,4006.0,1476.0,,36.0,704.0,1476.0,2023
West Baldwin,010030107084,01,003,010708,4,7647022.4874015385,0.4021509382973868,4006.0,1476.0,,36.0,704.0,1476.0,2023
South Baldwin,010030115042,01,003,011504,2,5023425.642291548,0.9999999999999994,1692.0,539.0,75520.0,37.6,328.0,539.0,2023
Central Baldwin,010030107072,01,003,010707,2,2107548.793033791,0.8205594710333289,1888.0,615.0,98458.0,40.5,581.0,615.0,2023
West Baldwin,010030107072,01,003,010707,2,462281.07202853303,0.17998592164806476,1888.0,615.0,98458.0,40.5,581.0,615.0,2023
