submarket,current_population,prior_population,forecast_5yr_population,current_households,prior_households,forecast_5yr_households,current_median_household_income,prior_median_household_income,forecast_5yr_median_household_income,current_median_age,prior_median_age,forecast_5yr_median_age,current_owner_occupancy_pct,prior_owner_occupancy_pct,forecast_5yr_owner_occupancy_pct,current_renter_occupancy_pct,prior_renter_occupancy_pct,forecast_5yr_renter_occupancy_pct,current_bachelors_plus_pct,prior_bachelors_plus_pct,forecast_5yr_bachelors_plus_pct,current_occupied_housing_units,prior_occupied_housing_units,forecast_5yr_occupied_housing_units,current_owner_occupied_units,prior_owner_occupied_units,forecast_5yr_owner_occupied_units,current_renter_occupied_units,prior_renter_occupied_units,forecast_5yr_renter_occupied_units,current_population_25_plus,prior_population_25_plus,forecast_5yr_population_25_plus,current_bachelors_plus_count,prior_bachelors_plus_count,forecast_5yr_bachelors_plus_count,current_population_growth_prior_5yr_pct,forecast_population_growth_next_5yr_pct,contributing_block_groups
Bay County Submarket 2,20121,9557,42360,7555,3313,17230,58552,60175,56929,40.7,38.3,43.0,84.8,76.4,93.2,15.2,23.6,6.8,19.5,17.6,21.4,7555,3313,17230,6409,2532,16220,1147,781,1684,14102,6408,31031,2757,1131,6719,110.5,110.5,30
Calhoun County,11783,4805,28896,4081,1860,8954,49701,39212,60189,43.0,42.8,43.2,77.5,85.9,69.0,22.5,14.1,31.0,13.2,8.8,17.6,4081,1860,8954,3161,1597,6255,920,263,3224,8646,3429,21800,1139,301,4312,145.2,145.2,16
Cantonment,75287,62818,90231,28829,23479,35399,82006,61786,102225,40.5,42.2,38.8,74.5,77.0,72.0,25.5,23.0,28.0,28.9,28.9,28.9,28829,23479,35399,21472,18079,25500,7358,5400,10026,52198,44382,61390,15075,12828,17716,19.8,19.8,56
Central Baldwin,66163,36961,118437,23282,12774,42432,70669,53250,88089,39.3,41.5,37.2,78.7,79.4,77.9,21.3,20.6,22.1,23.2,17.9,28.6,23282,12774,42432,18316,10142,33077,4966,2632,9369,44153,24840,78479,10256,4446,23655,79.0,79.0,45
Central Mobile,272390,156759,473315,104480,62408,174915,64917,48831,81003,37.8,38.3,37.4,66.6,62.8,70.4,33.4,37.2,29.6,27.9,26.8,29.0,104480,62408,174915,69541,39164,123480,34939,23244,52518,180109,105887,306357,50278,28404,88999,73.8,73.8,214
Crestview,46876,14103,155809,16559,4871,56296,75843,50871,100815,34.7,35.4,34.0,72.4,63.4,81.3,27.6,36.6,18.7,24.4,17.8,31.1,16559,4871,56296,11985,3089,46503,4573,1781,11740,30525,9171,101597,7457,1629,34137,232.4,232.4,31
Defuniak Springs,11873,370,381144,4487,135,148687,50432,42707,58157,34.6,45.1,24.2,74.2,82.8,65.6,25.8,17.2,34.4,17.2,10.9,23.5,4487,135,148687,3330,112,98916,1158,23,57403,7657,261,224436,1318,29,60928,3108.9,3108.9,21
Egland AFB,36231,19776,66377,13684,6847,27346,81301,67975,94628,36.1,34.9,37.3,66.4,65.7,67.0,33.6,34.3,33.0,36.3,30.0,42.5,13684,6847,27346,9079,4496,18334,4604,2351,9018,24440,12360,48328,8861,3710,21161,83.2,83.2,39
Fort Walton,107657,94574,122549,44187,38550,50648,84033,64966,103099,41.0,40.6,41.5,64.8,61.4,68.3,35.2,38.6,31.7,36.2,34.1,38.2,44187,38550,50648,28652,23651,34710,15535,14899,16199,76020,66410,87021,27492,22641,33383,13.8,13.8,84
Freeport,6757,4253,10734,2552,1644,3962,86145,50382,121908,38.7,41.1,36.4,75.5,78.0,73.1,24.5,22.0,26.9,28.8,20.8,36.9,2552,1644,3962,1927,1281,2899,625,362,1077,4490,3032,6648,1295,632,2655,58.9,58.9,11
