SubmarketID,SubmarketName,CountyProxy,Source,Population,Households,MedianHouseholdIncome,MedianAge,OwnerOccupancyPct,BachelorsPlusPct,PopulationGrowthPct
SM-01,South Mobile,"Mobile County, AL",ACS 2023 county proxy via Census API,,,,,,,
SM-02,Central Mobile,"Mobile County, AL",ACS 2023 county proxy via Census API,,,,,,,
SM-03,North Mobile / Saraland,"Mobile County, AL",ACS 2023 county proxy via Census API,,,,,,,
SM-04,South Baldwin,"Baldwin County, AL",ACS 2023 county proxy via Census API,,,,,,,
SM-05,North Baldwin,"Baldwin County, AL",ACS 2023 county proxy via Census API,,,,,,,
SM-06,West Baldwin,"Baldwin County, AL",ACS 2023 county proxy via Census API,,,,,,,
SM-07,Pensacola,"Escambia County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-08,Pace,"Santa Rosa County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-09,Pensacola Beaches,"Escambia County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-10,Milton,"Santa Rosa County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-11,Cantonment,"Escambia County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-12,Central Baldwin,"Baldwin County, AL",ACS 2023 county proxy via Census API,,,,,,,
SM-13,North Escambia,"Escambia County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-14,Santa Rosa County,"Santa Rosa County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-15,Okaloosa County,"Okaloosa County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-16,Laurel Hill,"Okaloosa County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-17,Crestview,"Okaloosa County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-18,Fort Walton,"Okaloosa County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-19,Defuniak Springs,"Walton County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-20,Freeport,"Walton County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-21,Eglin AFB,"Okaloosa County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-22,Walton and Bay Beaches,"Walton/Bay County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-23,Walton County,"Walton County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-24,Holmes County,"Holmes County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-25,Washington County,"Washington County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-26,Jackson County,"Jackson County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-27,Marianna,"Jackson County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-28,Panama City,"Bay County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-29,Bay County Submarket 2,"Bay County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-30,Calhoun County,"Calhoun County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-31,Gulf County,"Gulf County, FL",ACS 2023 county proxy via Census API,,,,,,,
SM-32,Bay County Submarket 1,"Bay County, FL",ACS 2023 county proxy via Census API,,,,,,,
